Pontos aceitos no BFGS_BOBYQA_two_dim_problem
Metodo = BFGS seguido de BOBYQA com caixa
tmax = 5.0
x0 = [0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]
dim_bfgs = 10 | dim_bobyqa = 101
lb = 0.0 | ub = 0.5
iterations = 10 | penalty_weight = 1.0e6 | rhobeg = 0.05 | rhoend = 0.001 | maxeval = 500

iter	f	gnorm	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
0	2.3760907596089194	62.76559182633003	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
1	0.9743999496602662	46.92961542690773	0.08076863404546517	0.07992812522932785	0.08214349786545201	0.0814259592141826	0.08058882804304188	0.08015404788199776	0.08007930634412633	0.08000215600359653	0.0749469898140328	0.1049439644976121
2	0.542966323930392	367.5371248511249	0.08180026912088635	0.07982404395468563	0.0852187260335726	0.08357182986015872	0.08147685906684153	0.08038370599388313	0.08019750564337204	0.08004174493274625	0.05642528610228402	0.10720157396875277

Resumo BFGS
convergiu_bfgs = false
iteracoes_bfgs = 2
f_final_bfgs = 0.542966323930392
f_final_penalizado_bfgs = 0.542966323930392
x_final_bfgs = [0.08180026912088635, 0.07982404395468563, 0.0852187260335726, 0.08357182986015872, 0.08147685906684153, 0.08038370599388313, 0.08019750564337204, 0.08004174493274625, 0.05642528610228402, 0.10720157396875277]
n_pontos_aceitos_bfgs = 3

Etapa BOBYQA
x_inicial_bobyqa = [0.08180026912088635, 0.0816224088559283, 0.08144454859097022, 0.08126668832601217, 0.0810888280610541, 0.08091096779609602, 0.08073310753113797, 0.0805552472661799, 0.08037738700122184, 0.08019952673626377, 0.0800216664713057, 0.07984380620634764, 0.08025561852099658, 0.08074113990809641, 0.08122666129519623, 0.08171218268229608, 0.08219770406939589, 0.08268322545649573, 0.08316874684359556, 0.08365426823069538, 0.08413978961779521, 0.08462531100489504, 0.08511083239199486, 0.08510344330143363, 0.08495522264582638, 0.08480700199021914, 0.08465878133461188, 0.08451056067900463, 0.08436234002339738, 0.08421411936779014, 0.08406589871218288, 0.08391767805657564, 0.08376945740096839, 0.08362123674536114, 0.08344613161255969, 0.08325758424116114, 0.08306903686976261, 0.08288048949836405, 0.08269194212696551, 0.08250339475556695, 0.08231484738416842, 0.08212630001276987, 0.0819377526413713, 0.08174920526997276, 0.08156065789857422, 0.08142220141319362, 0.08132381763662735, 0.0812254338600611, 0.08112705008349484, 0.08102866630692859, 0.08093028253036233, 0.08083189875379607, 0.08073351497722982, 0.08063513120066355, 0.0805367474240973, 0.08043836364753106, 0.08037625797986268, 0.08035949994831668, 0.08034274191677068, 0.08032598388522469, 0.0803092258536787, 0.0802924678221327, 0.08027570979058671, 0.0802589517590407, 0.08024219372749469, 0.0802254356959487, 0.0802086776644027, 0.08019283282205326, 0.08017881435809694, 0.08016479589414063, 0.08015077743018431, 0.08013675896622798, 0.08012274050227167, 0.08010872203831534, 0.08009470357435902, 0.0800806851104027, 0.08006666664644638, 0.08005264818249005, 0.079569415756137, 0.0774439344613954, 0.0753184531666538, 0.0731929718719122, 0.07106749057717061, 0.06894200928242901, 0.0668165279876874, 0.0646910466929458, 0.0625655653982042, 0.06044008410346259, 0.058314602808720986, 0.05693304898094873, 0.06150291488893092, 0.06607278079691312, 0.07064264670489531, 0.0752125126128775, 0.07978237852085963, 0.08435224442884182, 0.08892211033682401, 0.09349197624480621, 0.09806184215278839, 0.10263170806077057, 0.10720157396875277]

iter_bobyqa	f	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64	x65	x66	x67	x68	x69	x70	x71	x72	x73	x74	x75	x76	x77	x78	x79	x80	x81	x82	x83	x84	x85	x86	x87	x88	x89	x90	x91	x92	x93	x94	x95	x96	x97	x98	x99	x100	x101
111	0.5343853059381434	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.030199526736263763	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
112	1.400338276453416	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.03002166647130569	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
113	0.533437494011747	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.029843806206347634	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
114	0.7500452282991451	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.030255618520996577	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
115	0.5330448414015723	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.030741139908096404	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
116	0.5899597477839733	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.03122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
117	0.5361431219625301	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.03171218268229607	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
118	0.553012612577235	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.032197704069395885	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
119	0.5380847583104842	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.032683225456495726	0.08316874684359556	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
120	0.5516415992190022	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.033168746843595553	0.08365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
121	0.536668981405222	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.03365426823069538	0.08413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
122	0.5537198097099902	0.08180026912088635	0.0816224088559283	0.08144454859097022	0.08126668832601217	0.0810888280610541	0.08091096779609602	0.08073310753113797	0.0805552472661799	0.08037738700122184	0.08019952673626377	0.0800216664713057	0.07984380620634764	0.08025561852099658	0.08074113990809641	0.08122666129519623	0.08171218268229608	0.08219770406939589	0.08268322545649573	0.08316874684359556	0.08365426823069538	0.03413978961779521	0.08462531100489504	0.08511083239199486	0.08510344330143363	0.08495522264582638	0.08480700199021914	0.08465878133461188	0.08451056067900463	0.08436234002339738	0.08421411936779014	0.08406589871218288	0.08391767805657564	0.08376945740096839	0.08362123674536114	0.08344613161255969	0.08325758424116114	0.08306903686976261	0.08288048949836405	0.08269194212696551	0.08250339475556695	0.08231484738416842	0.08212630001276987	0.0819377526413713	0.08174920526997276	0.08156065789857422	0.08142220141319362	0.08132381763662735	0.0812254338600611	0.08112705008349484	0.08102866630692859	0.08093028253036233	0.08083189875379607	0.08073351497722982	0.08063513120066355	0.0805367474240973	0.08043836364753106	0.08037625797986268	0.08035949994831668	0.08034274191677068	0.08032598388522469	0.0803092258536787	0.0802924678221327	0.08027570979058671	0.0802589517590407	0.08024219372749469	0.0802254356959487	0.0802086776644027	0.08019283282205326	0.08017881435809694	0.08016479589414063	0.08015077743018431	0.08013675896622798	0.08012274050227167	0.08010872203831534	0.08009470357435902	0.0800806851104027	0.08006666664644638	0.08005264818249005	0.079569415756137	0.0774439344613954	0.0753184531666538	0.0731929718719122	0.07106749057717061	0.06894200928242901	0.0668165279876874	0.0646910466929458	0.0625655653982042	0.06044008410346259	0.058314602808720986	0.05693304898094873	0.06150291488893092	0.06607278079691312	0.07064264670489531	0.0752125126128775	0.07978237852085963	0.08435224442884182	0.08892211033682401	0.09349197624480621	0.09806184215278839	0.10263170806077057	0.10720157396875277
